Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_006_Line_Y_250m,MOD13Q1_006_Sample_X_250m,MOD13Q1_006__250m_16_days_EVI,MOD13Q1_006__250m_16_days_NDVI,MOD13Q1_006__250m_16_days_VI_Quality,MOD13Q1_006__250m_16_days_VI_Quality_bitmask,MOD13Q1_006__250m_16_days_VI_Quality_MODLAND,MOD13Q1_006__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_006__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_006__250m_16_days_VI_Quality_Possible_shadow_Description
31.7365,-109.9419,2017-12-19,h08v05,3966.0,3118.0,0.0976,0.1655,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-01-01,h08v05,3966.0,3118.0,0.0976,0.1655,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-01-17,h08v05,3966.0,3118.0,0.0922,0.1544,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-02-02,h08v05,3966.0,3118.0,0.0887,0.1471,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-02-18,h08v05,3966.0,3118.0,0.0648,0.1231,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-03-06,h08v05,3966.0,3118.0,0.0725,0.1312,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-03-22,h08v05,3966.0,3118.0,0.0938,0.1462,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-04-07,h08v05,3966.0,3118.0,0.0946,0.1506,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-04-23,h08v05,3966.0,3118.0,0.0993,0.1516,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
31.7365,-109.9419,2018-05-09,h08v05,3966.0,3118.0,0.0877,0.1429,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
