Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinst,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_bitmask,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer_Description
46.7518,-117.1285,2018-08-03 23:49:01 UTC,00438,005,0601,True,21.0234642,77.4243927,0b00000000000000000000000001001101,0b0,Continuous
46.7518,-117.1285,2018-08-05 23:41:09 UTC,00469,006,0601,True,17.431776,66.4283676,0b00000000000000000000000001000010,0b0,Continuous
46.7518,-117.1285,2018-08-06 22:49:34 UTC,00484,007,0601,True,39.2843742,72.6344757,0b00000000000000000000000001001000,0b0,Continuous
46.7518,-117.1285,2018-08-08 02:48:19 UTC,00502,004,0601,True,20.3320465,47.384903,0b00000000000000000000000000101111,0b0,Continuous
46.7518,-117.1285,2018-08-09 21:50:18 UTC,00530,007,0601,True,25.1802101,74.2742004,0b00000000000000000000000001001010,0b0,Continuous
46.7518,-117.1285,2018-08-11 01:49:04 UTC,00548,004,0601,True,9.723073,65.0996628,0b00000000000000000000000001000001,0b0,Continuous
46.7518,-117.1285,2018-08-12 20:50:49 UTC,00576,006,0601,True,39.6618004,95.2363205,0b00000000000000000000000001011111,0b0,Continuous
46.7518,-117.1285,2018-08-13 19:59:13 UTC,00591,005,0601,True,65.4140472,35.3293343,0b00000000000000000000000000100011,0b0,Continuous
46.7518,-117.1285,2018-08-14 23:57:04 UTC,00609,003,0601,True,21.9298592,34.485733,0b00000000000000000000000000100010,0b0,Continuous
46.7518,-117.1285,2018-08-21 21:06:20 UTC,00716,003,0601,True,36.2835197,29.0683022,0b00000000000000000000000000011101,0b0,Continuous
46.7518,-117.1285,2018-08-22 17:00:34 UTC,00729,006,0601,True,116.0367203,47.7986412,0b00000000000000000000000000101111,0b0,Continuous
46.7518,-117.1285,2018-08-29 14:10:07 UTC,00836,007,0601,True,68.5965042,47.3771515,0b00000000000000000000000000101111,0b0,Continuous
46.7518,-117.1285,2018-08-31 17:16:22 UTC,00869,004,0601,True,231.555542,94.6864471,0b00000000000000000000000001011110,0b0,Continuous
46.7518,-117.1285,2018-09-03 16:16:53 UTC,00915,004,0601,True,199.609436,94.8155823,0b00000000000000000000000001011110,0b0,Continuous
46.7518,-117.1285,2018-09-06 15:16:33 UTC,00961,003,0601,True,116.0367661,56.1917229,0b00000000000000000000000000111000,0b0,Continuous
46.7518,-117.1285,2018-09-07 14:24:57 UTC,00976,003,0601,True,72.6000214,46.1728249,0b00000000000000000000000000101110,0b0,Continuous
46.7518,-117.1285,2019-06-03 23:23:14 UTC,05163,005,0601,True,37.5454636,171.6646118,0b00000000000000000000000010101011,0b0,Continuous
46.7518,-117.1285,2019-06-04 22:33:28 UTC,05178,003,0601,True,39.9887466,184.6362305,0b00000000000000000000000010111000,0b0,Continuous
46.7518,-117.1285,2019-06-09 01:42:54 UTC,05242,001,0601,True,91.6599884,71.9421082,0b00000000000000000000000001000111,0b0,Continuous
46.7518,-117.1285,2019-06-14 19:08:13 UTC,05331,004,0601,True,80.9572449,197.1128998,0b00000000000000000000000011000101,0b0,Continuous
46.7518,-117.1285,2019-06-15 18:18:48 UTC,05346,003,0601,True,149.9501343,161.1304169,0b00000000000000000000000010100001,0b0,Continuous
46.7518,-117.1285,2019-06-18 17:26:47 UTC,05392,004,0601,True,208.2925415,170.9320984,0b00000000000000000000000010101010,0b0,Continuous
46.7518,-117.1285,2019-06-19 16:37:25 UTC,05407,003,0601,True,215.1015167,183.2733459,0b00000000000000000000000010110111,0b0,Continuous
46.7518,-117.1285,2019-06-26 14:04:30 UTC,05514,003,0601,True,124.8551559,68.3648987,0b00000000000000000000000001000100,0b0,Continuous
46.7518,-117.1285,2019-06-30 12:22:46 UTC,05575,003,0601,True,79.4347153,17.2751789,0b00000000000000000000000000010001,0b0,Continuous
