Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinst,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_bitmask,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer_Description
39.2167,-86.5406,2018-08-02 21:31:32 UTC,00421,0601,009,158.6651306,77.0214615,0b00000000000000000000000001001101,0b0,Continuous
39.2167,-86.5406,2018-08-12 17:41:53 UTC,00574,0601,009,266.3279114,128.2822723,0b00000000000000000000000010000000,0b0,Continuous
39.2167,-86.5406,2018-08-19 21:20:14 UTC,00685,0601,014,200.7039948,90.382843,0b00000000000000000000000001011010,0b0,Continuous
39.2167,-86.5406,2018-08-29 17:29:27 UTC,00838,0601,010,457.3522034,194.5062256,0b00000000000000000000000011000010,0b0,Continuous
39.2167,-86.5406,2018-09-05 14:38:53 UTC,00945,0601,011,320.0892639,146.186142,0b00000000000000000000000010010010,0b0,Continuous
39.2167,-86.5406,2019-05-24 00:27:49 UTC,04993,0601,006,73.8539124,39.1184578,0b00000000000000000000000000100111,0b0,Continuous
39.2167,-86.5406,2019-05-30 21:54:48 UTC,05100,0601,006,193.6904907,90.7712326,0b00000000000000000000000001011010,0b0,Continuous
39.2167,-86.5406,2019-06-11 00:10:04 UTC,05272,0601,006,59.5424156,55.3358917,0b00000000000000000000000000110111,0b0,Continuous
39.2167,-86.5406,2019-06-14 15:59:12 UTC,05329,0601,006,535.2808838,226.8872528,0b00000000000000000000000011100010,0b0,Continuous
39.2167,-86.5406,2019-06-25 18:14:07 UTC,05501,0601,007,214.7731628,92.9498291,0b00000000000000000000000001011100,0b0,Continuous
39.2167,-86.5406,2019-06-26 10:54:54 UTC,05512,0601,007,153.7971497,67.6327744,0b00000000000000000000000001000011,0b0,Continuous
39.2167,-86.5406,2019-06-29 16:32:46 UTC,05562,0601,007,254.6287079,138.4575348,0b00000000000000000000000010001010,0b0,Continuous
39.2167,-86.5406,2019-07-07 13:10:58 UTC,05684,0601,007,306.4614563,147.9383392,0b00000000000000000000000010010011,0b0,Continuous
39.2167,-86.5406,2019-07-28 22:16:41 UTC,06016,0601,006,211.2129211,98.2439041,0b00000000000000000000000001100010,0b0,Continuous
39.2167,-86.5406,2019-08-04 19:44:20 UTC,06123,0601,006,324.3879395,150.4039459,0b00000000000000000000000010010110,0b0,Continuous
39.2167,-86.5406,2019-08-16 21:13:19 UTC,06310,0601,007,125.1026611,58.9739571,0b00000000000000000000000000111010,0b0,Continuous
39.2167,-86.5406,2019-09-04 13:50:33 UTC,06600,0600,006,207.4423218,93.2868576,0b00000000000000000000000001011101,0b0,Continuous
39.2167,-86.5406,2019-09-07 13:00:42 UTC,06646,0601,007,121.6104889,65.7557831,0b00000000000000000000000001000001,0b0,Continuous
39.2167,-86.5406,2019-10-04 19:08:30 UTC,07069,0601,008,139.0502777,114.9380951,0b00000000000000000000000001110010,0b0,Continuous
39.2167,-86.5406,2019-10-18 20:45:20 UTC,07287,0601,007,171.3063049,70.0259323,0b00000000000000000000000001000110,0b0,Continuous
39.2167,-86.5406,2019-10-23 18:19:10 UTC,07363,0601,007,167.6157379,69.7339325,0b00000000000000000000000001000101,0b0,Continuous
39.2167,-86.5406,2020-02-22 18:25:54 UTC,09255,0601,006,191.9693604,79.2574463,0b00000000000000000000000001001111,0b0,Continuous
39.2167,-86.5406,2020-04-09 17:17:31 UTC,09983,0601,006,260.5640259,120.4939423,0b00000000000000000000000001111000,0b0,Continuous
39.2167,-86.5406,2020-04-22 18:23:36 UTC,10185,0601,011,352.340271,146.4776001,0b00000000000000000000000010010010,0b0,Continuous
39.2167,-86.5406,2020-06-03 19:23:12 UTC,10837,0601,006,271.5360413,118.7745514,0b00000000000000000000000001110110,0b0,Continuous
39.2167,-86.5406,2020-06-07 17:48:39 UTC,10898,0601,006,484.3605042,202.9755554,0b00000000000000000000000011001010,0b0,Continuous
39.2167,-86.5406,2020-06-08 00:18:45 UTC,10902,0601,010,130.6931915,54.344326,0b00000000000000000000000000110110,0b0,Continuous
39.2167,-86.5406,2020-06-11 22:44:09 UTC,10963,0601,010,60.7750816,74.3313904,0b00000000000000000000000001001010,0b0,Continuous
39.2167,-86.5406,2020-07-05 13:16:44 UTC,11329,0601,011,270.6699524,110.5873795,0b00000000000000000000000001101110,0b0,Continuous
39.2167,-86.5406,2020-07-09 11:42:47 UTC,11390,0601,010,255.162674,109.8179626,0b00000000000000000000000001101101,0b0,Continuous
39.2167,-86.5406,2020-07-24 22:53:49 UTC,11630,0601,008,77.753212,117.4882355,0b00000000000000000000000001110101,0b0,Continuous
39.2167,-86.5406,2020-07-28 21:18:55 UTC,11691,0601,008,86.7742462,262.8596802,0b00000000000000000000000100000110,0b0,Continuous
39.2167,-86.5406,2020-08-06 00:41:20 UTC,11817,0601,013,25.8660889,,,,
39.2167,-86.5406,2020-08-08 23:55:51 UTC,11863,0601,008,82.7756424,75.9018555,0b00000000000000000000000001001011,0b0,Continuous
39.2167,-86.5406,2020-08-09 16:37:29 UTC,11874,0601,007,341.4162292,203.6797791,0b00000000000000000000000011001011,0b0,Continuous
39.2167,-86.5406,2020-08-12 22:22:21 UTC,11924,0601,008,59.7178802,169.1413879,0b00000000000000000000000010101001,0b0,Continuous
39.2167,-86.5406,2020-08-16 20:48:42 UTC,11985,0601,008,132.0598602,142.7496033,0b00000000000000000000000010001110,0b0,Continuous
39.2167,-86.5406,2020-08-17 13:31:10 UTC,11996,0601,008,204.8840942,200.9837646,0b00000000000000000000000011001000,0b0,Continuous
39.2167,-86.5406,2020-08-21 18:27:38 UTC,12061,0601,007,201.6511078,184.3591614,0b00000000000000000000000010111000,0b0,Continuous
39.2167,-86.5406,2020-09-21 23:29:49 UTC,12545,0601,008,39.5500984,,,,
39.2167,-86.5406,2020-09-25 21:57:34 UTC,12606,0601,008,135.3576508,58.0856018,0b00000000000000000000000000111010,0b0,Continuous
39.2167,-86.5406,2020-10-07 17:21:02 UTC,12789,0601,008,246.0958252,100.9145966,0b00000000000000000000000001100100,0b0,Continuous
39.2167,-86.5406,2020-10-10 23:04:36 UTC,12839,0601,009,75.4334564,,,,
39.2167,-86.5406,2020-10-11 15:47:06 UTC,12850,0601,007,360.6847534,158.7045746,0b00000000000000000000000010011110,0b0,Continuous
39.2167,-86.5406,2020-10-11 22:17:08 UTC,12854,0601,007,120.4341507,49.287796,0b00000000000000000000000000110001,0b0,Continuous
39.2167,-86.5406,2020-11-03 13:39:21 UTC,13205,0601,007,61.2952957,28.8948784,0b00000000000000000000000000011100,0b0,Continuous
39.2167,-86.5406,2021-03-29 20:49:00 UTC,15474,0601,007,152.4641724,62.3542328,0b00000000000000000000000000111110,0b0,Continuous
39.2167,-86.5406,2021-04-02 19:16:10 UTC,15535,0601,008,151.6869965,62.1839371,0b00000000000000000000000000111110,0b0,Continuous
39.2167,-86.5406,2021-04-14 21:08:53 UTC,15723,0601,009,160.5980835,67.0859604,0b00000000000000000000000001000011,0b0,Continuous
39.2167,-86.5406,2021-04-22 18:03:34 UTC,15845,0601,008,276.813324,130.4910431,0b00000000000000000000000010000010,0b0,Continuous
39.2167,-86.5406,2021-04-26 16:30:59 UTC,15906,0601,009,351.1221313,145.1940155,0b00000000000000000000000010010001,0b0,Continuous
39.2167,-86.5406,2021-04-30 14:57:39 UTC,15967,0601,008,294.100769,138.6404419,0b00000000000000000000000010001010,0b0,Continuous
